timestamp_utc,open,high,low,close,volume
2025-12-24T14:30:00Z,57.83,57.83,57.83,57.83,0
2025-12-26T14:30:00Z,57,57,57,56.53,3
2025-12-29T14:30:00Z,57.51,57.51,57.51,57.51,0
2025-12-30T14:30:00Z,57.45,57.45,57.45,57.45,0
2025-12-31T14:30:00Z,56.95,56.95,56.95,56.95,0
2026-01-02T14:30:00Z,57.01,57.01,57.01,57.01,0
2026-01-05T14:30:00Z,57.6,57.6,57.6,57.6,0
2026-01-06T14:30:00Z,56.59,56.59,56.59,56.59,0
2026-01-07T14:30:00Z,55.89,55.89,55.89,55.85,2
2026-01-08T14:30:00Z,56.57,56.57,56.57,57.34,1
2026-01-09T14:30:00Z,58.24,58.24,58.24,58.24,0
2026-01-12T14:30:00Z,58.56,58.56,58.56,58.56,0
2026-01-13T14:30:00Z,59.5,59.5,59.5,59.65,3
2026-01-14T14:30:00Z,60.06,60.06,58.58,60.45,12
2026-01-15T14:30:00Z,58.29,58.29,58.29,58.29,0
2026-01-16T14:30:00Z,58.51,58.51,58.51,58.51,0
2026-01-20T14:30:00Z,59.19,59.19,59.19,59.19,0
2026-01-21T14:30:00Z,59.55,59.55,59.55,59.59,1
2026-01-22T14:30:00Z,58.91,58.91,58.91,58.65,1
2026-01-23T14:30:00Z,59.83,59.83,59.83,59.83,0
2026-01-26T14:30:00Z,59.7,59.7,59.55,59.73,4
2026-01-27T14:30:00Z,59.9,60.35,59.9,60.8,3
2026-01-28T14:30:00Z,60.88,60.88,60.88,61.24,18
2026-01-29T14:30:00Z,61.99,61.99,61.91,62.66,8
2026-01-30T14:30:00Z,62.9,63.1,62.41,62.51,5
2026-02-02T14:30:00Z,60.5,60.5,60.5,59.8,3
2026-02-03T14:30:00Z,59.8,61.32,59.8,60.96,9
2026-02-04T14:30:00Z,61,62.68,61,62.52,15
2026-02-05T14:30:00Z,61,61,61,61.26,2
2026-02-06T14:30:00Z,61.99,62.14,61.99,61.78,2
2026-02-09T14:30:00Z,62.78,62.78,62.78,62.64,2
2026-02-10T14:30:00Z,62.64,62.64,62.64,62.37,1
2026-02-11T14:30:00Z,62.84,62.84,62.84,62.84,0
2026-02-12T14:30:00Z,61.16,61.16,61.16,61.21,1
2026-02-13T14:30:00Z,60.98,61.26,60.98,61.19,5
2026-02-17T14:30:00Z,60.69,60.69,60.69,60.89,1
2026-02-18T14:30:00Z,62.65,62.65,62.65,62.94,2
2026-02-19T14:30:00Z,64,64,64,63.9,1
2026-02-20T14:30:00Z,63.6,64,63.6,63.95,3
